country,2015,2016,2017,2018,2019,2020,2021,2022
Argentina,6.573999882,6.650,6.599,6.388,6.086,5.974699974,5.929,5.967
Australia,7.28399992,7.313,7.284,7.272,7.228,7.222799778,7.183,7.162
Belgium,6.936999798,6.929,6.891,6.927,6.923,6.863500118,6.834,6.805
Brazil,6.982999802,6.952,6.635,6.419,6.300,6.375599861,6.330,6.293
Cameroon,4.251999855,4.513,4.695,4.975,5.044,5.084899902,5.142,5.048
Canada,7.427000046,7.404,7.316,7.328,7.278,7.23210001,7.103,7.025
Costa Rica,7.225999832,7.087,7.079,7.072,7.167,7.121399879,7.069,6.582
Croatia,5.758999825,5.488,5.293,5.321,5.432,5.504700184,5.882,6.125
Denmark,7.52699995,7.526,7.522,7.555,7.600,7.645599842,7.620,7.636
Ecuador,5.974999905,5.976,6.008,5.973,6.028,5.925199986,5.764,5.533
England,6.867000103,6.725,6.714,6.814,7.054,7.164500237,7.064,6.943
France,6.574999809,6.478,6.442,6.489,6.592,6.663799763,6.690,6.687
Germany,6.75,6.994,6.951,6.965,6.985,7.075799942,7.155,7.034
Ghana,4.632999897,4.276,4.120,4.657,4.996,5.147999763,5.088,4.872
IR Iran,4.68599987,4.813,4.692,4.707,4.548,4.672399998,4.721,4.888
Japan,5.986999989,5.921,5.920,5.915,5.886,5.870800018,5.940,6.039
Mexico,7.186999798,6.778,6.578,6.488,6.595,6.465000153,6.317,6.128
Morocco,5.013000011,5.151,5.235,5.254,5.208,5.094799995,4.918,5.060
Netherlands,7.377999783,7.339,7.377,7.441,7.488,7.448900223,7.464,7.415
Poland,5.790999889,5.835,5.973,6.123,6.182,6.186299801,6.166,6.123
Portugal,5.102000237,5.123,5.195,5.410,5.693,5.910900116,5.929,6.016
Qatar,6.611000061,6.375,6.375,6.374,6.374,6.374,6.374,6.374
Saudi Arabia,6.410999775,6.379,6.344,6.371,6.375,6.406499863,6.494,6.523
Senegal,3.904000044,4.219,4.535,4.631,4.681,4.980800152,5.132,5.046
Serbia,5.123000145,5.177,5.395,5.398,5.603,5.77820015,6.078,6.178
Korea Republic,5.984000206,5.835,5.838,5.875,5.895,5.872399807,5.845,5.935
Spain,6.328999996,6.361,6.403,6.310,6.354,6.400899887,6.491,6.476
Switzerland,7.586999893,7.509,7.494,7.487,7.480,7.559899807,7.571,7.512
Tunisia,4.738999844,5.045,4.805,4.592,4.461,4.392199993,4.596,4.516
Nigeria,5.268000126,4.875,5.074,5.155,5.265,4.724100113,4.759,4.552
Uruguay,6.485000134,6.545,6.454,6.379,6.293,6.440100193,6.431,6.474
Wales,6.867000103,6.725,6.714,6.814,7.054,7.164500237,7.064,6.943
Paraguay,5.877999783,5.538,5.493,5.681,5.743,5.692100048,5.653,5.578
Peru,5.823999882,5.743,5.715,5.663,5.697,5.796800137,5.840,5.559
Sweden,7.363999844,7.291,7.284,7.314,7.343,7.353499889,7.363,7.384
Colombia,6.477000237,6.481,6.357,6.260,6.125,6.163400173,6.012,5.781
Austria,7.199999809,7.119,7.006,7.139,7.246,7.294199944,7.268,7.163
Iceland,7.56099987,7.501,7.504,7.495,7.494,7.504499912,7.554,7.557
Finland,7.406000137,7.413,7.469,7.632,7.769,7.808700085,7.842,7.821
Republic of Ireland,6.940000057,6.907,6.977,6.977,7.021,7.093699932,7.085,7.041
Norway,7.521999836,7.498,7.537,7.594,7.554,7.487999916,7.392,7.365
Scotland,6.867000103,6.725,6.714,6.814,7.054,7.164500237,7.064,6.943
Algeria,5.605000019,6.355,5.872,5.295,5.211,5.005099773,4.887,5.122
Italy,5.947999954,5.977,5.964,6.000,6.223,6.38740015,6.483,6.467
USA,7.118999958,7.104,6.993,6.886,6.892,6.939599991,6.951,6.977
Turkey,5.331999779,5.389,5.500,5.483,5.373,5.131800175,4.948,4.744
Egypt,4.193999767,4.362,4.735,4.419,4.166,4.151400089,4.283,4.288
Greece,4.856999874,5.033,5.227,5.358,5.287,5.514999866,5.723,5.948
Côte d'Ivoire,3.654999971,3.916,4.180,4.671,4.944,5.233300209,5.306,5.235
Chile,6.670000076,6.705,6.652,6.476,6.444,6.228499889,6.172,6.172
Czech Republic,6.505000114,6.596,6.609,6.711,6.852,6.910900116,6.965,NaN
Ukraine,4.681000233,4.324,4.096,4.103,4.332,4.56069994,4.875,5.084
Russia,5.71600008,5.856,5.963,5.810,5.648,5.546000004,5.477,5.459
