tournaments,selected
FIFA World Cup qualification,TRUE
Friendly,TRUE
African Cup of Nations qualification,TRUE
Amílcar Cabral Cup,FALSE
CFU Caribbean Cup qualification,TRUE
United Arab Emirates Friendship Tournament,FALSE
Malta International Tournament,FALSE
Lunar New Year Cup,FALSE
African Cup of Nations,TRUE
CFU Caribbean Cup,TRUE
UEFA Euro qualification,TRUE
Kirin Cup,FALSE
FIFA World Cup,TRUE
Oceania Nations Cup qualification,TRUE
Baltic Cup,TRUE
Gulf Cup,FALSE
Simba Tournament,FALSE
CECAFA Cup,TRUE
Confederations Cup,TRUE
Dynasty Cup,FALSE
King's Cup,FALSE
Nehru Cup,FALSE
SAFF Cup,FALSE
Copa Paz del Chaco,TRUE
Korea Cup,FALSE
USA Cup,FALSE
Copa América,TRUE
Merdeka Tournament,FALSE
South Pacific Games,FALSE
UNCAF Cup,FALSE
Oceania Nations Cup,FALSE
Windward Islands Tournament,FALSE
Gold Cup,FALSE
AFC Asian Cup qualification,TRUE
UEFA Euro,TRUE
AFF Championship,FALSE
AFC Asian Cup,TRUE
King Hassan II Tournament,FALSE
Cyprus International Tournament,FALSE
Dunhill Cup,FALSE
COSAFA Cup qualification,FALSE
COSAFA Cup,FALSE
Tournoi de France,FALSE
Gold Cup qualification,FALSE
SKN Football Festival,FALSE
Arab Cup qualification,TRUE
Arab Cup,TRUE
UNIFFAC Cup,FALSE
Nordic Championship,FALSE
WAFF Championship,FALSE
Millennium Cup,FALSE
Cup of Ancient Civilizations,FALSE
Prime Minister's Cup,FALSE
EAFF Championship,FALSE
TIFOCO Tournament,FALSE
Afro-Asian Games,TRUE
AFC Challenge Cup,FALSE
Copa del Pacífico,TRUE
AFC Challenge Cup qualification,FALSE
African Nations Championship,FALSE
VFF Cup,FALSE
Dragon Cup,FALSE
Nile Basin Tournament,FALSE
Nations Cup,TRUE
Copa Confraternidad,FALSE
Pacific Games,TRUE
Superclásico de las Américas,FALSE
ABCS Tournament,FALSE
Kirin Challenge Cup,FALSE
OSN Cup,FALSE
Copa América qualification,TRUE
Pacific Mini Games,FALSE
Intercontinental Cup,TRUE
AFF Championship qualification,FALSE
UEFA Nations League,TRUE
CONCACAF Nations League qualification,TRUE
African Nations Championship qualification,TRUE
CONCACAF Nations League,TRUE
Three Nations Cup,FALSE
Mahinda Rajapaksa Cup,FALSE
Navruz Cup,FALSE
CONMEBOL–UEFA Cup of Champions,FALSE
