Year,First place,Second place,Third place,Number of participants,Number of games,Number of goals,Average number of goals per game
2018,Frankrijk,Kroatië,België,32,64,169,"2,6"
2014,Duitsland,Argentinië,Nederland,32,64,171,"2,7"
2010,Spanje,Nederland,Duitsland,32,64,145,"2,3"
2006,Italië,Frankrijk,Duitsland,32,64,147,"2,3"
2002,Brazilië,Duitsland,Turkije,32,64,161,"2,5"
1998,Frankrijk,Brazilië,Kroatië,32,64,171,"2,7"
1994,Brazilië,Italië,Zweden,24,52,141,"2,7"
1990,West-Duitsland,Argentinië,Italië,24,52,115,"2,2"
1986,Argentinië,West-Duitsland,Frankrijk,24,52,132,"2,5"
1982,Italië,West-Duitsland,Polen,24,52,146,"2,8"
1978,Argentinië,Nederland,Brazilië,16,38,102,"2,7"
1974,West-Duitsland,Nederland,Polen,16,38,97,"2,6"
1970,Brazilië,Italië,West-Duitsland,16,32,95,3
1966,Engeland,West-Duitsland,Portugal,16,32,89,"2,8"
1962,Brazilië,Tsjechoslowakije,Chili,16,32,89,"2,8"
1958,Brazilië,Zweden,Frankrijk,16,35,126,"3,6"
1954,West-Duitsland,Hongarije,Oostenrijk,16,26,140,"5,4"
1950,Uruguay,Brazilië,Zweden,13,22,88,4
1938,Italië,Hongarije,Brazilië,15,18,84,"4,7"
1934,Italië,Tsjechoslowakije,Duitsland,16,17,70,"4,1"
1930,Uruguay,Argentina,Verenigde Staten,13,16,70,"3,6"
