group,country,fifa_code,fifa_score
C,Argentina,ARG,1773.88
D,Australia,AUS,1488.72
F,Belgium,BEL,1816.71
G,Brazil,BRA,1841.3
G,Cameroon,CMR,1471.44
F,Canada,CAN,1475
E,Costa Rica,CRC,1503.59
F,Croatia,CRO,1645.64
D,Denmark,DEN,1666.57
A,Ecuador,ECU,1464.39
B,England,ENG,1728.47
D,France,FRA,1759.78
E,Germany,GER,1650.21
H,Ghana,GHA,1383
B,Iran,IRN,1564.61
E,Japan,JPN,1559.54
C,Mexico,MEX,1644.89
F,Morocco,MAR,1563.5
A,Netherlands,NED,1694.51
C,Poland,POL,1548.59
H,Portugal,POR,1676.56
A,Qatar,QAT,1439.89
C,Saudi Arabia,KSA,1437.78
A,Senegal,SEN,1584.38
G,Serbia,SRB,1563.62
H,South Korea,KOR,1530.3
E,Spain,ESP,1715.22
G,Switzerland,SUI,1635.92
D,Tunisia,TUN,1507.54
B,United States,USA,1627.48
H,Uruguay,URU,1638.71
B,Wales,WAL,1569.82
