"","Argentina","Australia","Belgium","Brazil","Cameroon","Canada","Costa Rica","Croatia","Denmark","Ecuador","England","France","Germany","Ghana","IR Iran","Japan","Korea Republic","Mexico","Morocco","Netherlands","Poland","Portugal","Qatar","Saudi Arabia","Senegal","Serbia","Spain","Switzerland","Tunisia","Uruguay","USA","Wales"
"Argentina",1.08928648494096,1.70608601378746,1.32927377829199,1.00820144768562,1.62453015335875,1.62266114646319,1.73918290873502,1.41207209565509,1.35809847657513,1.65097027180164,1.21618193419414,1.25442240811425,1.51528067329515,1.62929591539469,1.5934051872075,1.64770157713186,1.82593211791724,1.7846396744916,1.43779627041451,1.35912247181103,1.63479980326406,1.34235089359618,1.60691759304857,1.71921854073041,1.39224883326821,1.55670606509259,1.3861057114249,1.45848280536216,1.66344594931756,1.44210372492033,1.7015280415307,1.58798586449905
"Australia",0.826018184719132,1.10597571380131,0.985130434000954,0.760419089084951,1.0815758869727,1.09575239251883,1.23240520043753,1.02139476712551,0.935783459024737,1.13279673493119,0.825897504428562,1.00040579915063,1.01257886933929,1.1107802356849,1.19504409469788,0.938245308055213,1.01408260733295,1.00802199883644,0.917185654528224,1.00935366270572,1.11666111359493,0.878878824923952,1.03045229045154,1.0616539857368,0.952108323269449,1.04432517788122,0.859159009201095,1.05435465361115,1.12541717747559,0.805305391170966,1.0446803014654,0.994287964307542
"Belgium",1.34514403898559,1.95917962371645,1.39182013034727,1.25861130279793,1.89240650229641,1.79976389379272,2.05450192327505,1.636475952922,1.57029146649646,1.89597511029103,1.32130188768738,1.40061373960373,1.52465058586852,1.77406141616421,1.88561191170049,1.83759656961371,2.20387915885334,1.77093355972504,1.60768567904678,1.38003076856823,2.06112062636091,1.33481507811891,1.75004525920571,2.07290548932615,1.55250465377452,1.76346676262077,1.35683089901666,1.63215709543483,2.02056437260467,1.57885589099831,1.80978886285706,1.74936383847534
"Brazil",1.164189893273,2.03637368993185,1.38851391045821,1.18873142030448,1.78897858585604,1.81168674838026,2.0102299817459,1.61997790458908,1.49832356790238,1.84666044032129,1.25165839147504,1.3231337247239,1.51533282770509,1.7550106379997,1.89023974226992,1.85788734409698,2.39615505297189,1.81747599141814,1.5690306340351,1.39555780899677,1.88623218597133,1.3340678035751,1.85734215815936,2.07227161126654,1.47291789138111,1.77430948364238,1.33241458120919,1.57336868086452,1.98818320633999,1.69181050561032,1.76517398248857,1.77673015061019
"Cameroon",0.799227835080346,1.11611225683775,0.95026769587207,0.749649880484059,1.0367158005351,1.13595558374564,1.18728589730776,0.981426881364597,0.878723809624885,1.0999791891403,0.795928824082936,0.940372596972888,0.960073760294445,1.08453979298001,1.24089504558418,1.000417250947,1.12299878192148,1.01014932821419,0.872844780010371,0.980808686811908,1.06714348251305,0.855452763751723,1.07720693157119,1.11013560229771,0.914318226583512,1.01790245329494,0.862348549224951,0.978738201508525,1.14125875803203,0.802827608762436,1.01234210831688,1.02406962041817
"Canada",0.861409480728671,1.11973348566997,0.977842266532713,0.76922660753057,1.13156986232733,1.11811885636869,1.12061355702123,1.02761709513408,0.951008104774268,1.12318702138847,0.843800382291394,0.970022333139607,1.0104775399776,1.14220472369024,1.22505976999314,1.06815200528144,1.097218059918,1.09571992992338,1.00110294449854,1.04165504077648,1.1128329109012,0.90983676402231,1.0565549695247,1.07219422646166,0.991065515433322,1.08308626459939,0.88709812706459,1.05480644785913,1.13847878859268,0.88625568673069,1.11685611932551,1.02688064640451
"Costa Rica",0.812325401675858,1.05910316476786,0.877295849915357,0.712313195434538,1.06185867783687,0.977099206799756,1.13462391790502,0.993912674351969,0.917190707678667,1.0969398123344,0.752140197937231,0.91338250197966,0.892248979816102,1.04953619049247,1.14982899294654,0.951023907345634,1.01807751148183,0.818792518111897,0.915467432799756,0.943715600402571,1.0651663248915,0.79579775833967,0.976546811821336,1.06255077685612,0.955950711800179,1.02491323413954,0.758460121814604,1.05742443174348,1.06136735710364,0.842966850067492,1.02315203431874,0.973379304481778
"Croatia",1.06752134922055,1.4370838581871,1.12083716960489,0.963664064050773,1.46302128212229,1.42990489134878,1.53322496674189,1.23110377218525,1.13310825416358,1.4647210775311,1.00656091972602,1.12876285882462,1.24496478301467,1.43130322536206,1.46641352548317,1.43528321799394,1.47647604135325,1.38383605892674,1.32605499655486,1.21567980368276,1.41357337196558,1.10246543580848,1.32687437052511,1.50176192193963,1.28505818952152,1.36301376347237,1.13733028444737,1.26228011196127,1.47041206386091,1.14210339417009,1.36658528484682,1.40887725902758
"Denmark",0.995212483550142,1.44183394615448,1.11168932205019,0.907351179656577,1.48032476750861,1.49430696322153,1.55752446758393,1.24913011844455,1.16811175945966,1.44359646522,0.972184730957316,1.20394046927967,1.21999520167545,1.44844598411691,1.50261062670049,1.49549035347988,1.54768310176726,1.44520347215329,1.29948226893353,1.24128454938071,1.45752478239602,1.03594405559625,1.355877075169,1.52206242799528,1.28029044317914,1.56211755871559,1.03411677239049,1.3179372509484,1.49290036662706,1.13374109438478,1.4410492483161,1.57980594491293
"Ecuador",0.831742385229704,1.2005571097776,0.985864086756839,0.764765306930076,1.17601355164693,1.19985841215222,1.27655095689885,1.05322604208414,0.941798973532675,1.24297617098419,0.819815270499561,0.950362829165013,0.970366711692443,1.16341282522726,1.32377352095185,1.12046586023725,1.18914211218033,1.12827788134848,0.947863018056739,1.00302132676473,1.1524291348879,0.858899510649833,1.11032425077182,1.22591483649297,0.994061041988978,1.10998486774242,0.869018219668328,1.059769694236,1.20885016059171,0.791506662324637,1.12103591203724,1.10327424490265
"England",1.14794359135891,1.88273762042545,1.2449277904799,1.0687405542586,1.7811617344398,1.70417124262891,1.82815932117429,1.49032992278906,1.3357373578877,1.78948733267417,1.13362402366281,1.12519529592276,1.40716368293696,1.75371053787011,1.72809490562814,1.78070826168221,1.9474837213563,1.68706126429908,1.48347342308785,1.28566291095174,1.62317838123903,1.21590931232732,1.68546367035141,1.91392827179205,1.44409636042635,1.62357527826966,1.2564145166198,1.49502297133813,1.85871346490141,1.49515251078692,1.74283055713393,1.78025421992197
"France",1.52292833432984,1.96532287466793,1.78334903228683,1.50158901618969,1.83446073819067,1.74846046499403,1.91244451878492,1.55770196040013,1.51198141639859,1.83263291857441,1.47464075151195,1.45474150052517,1.56042251422176,1.73696508793125,1.81800189553078,1.7991818875987,2.02578471075575,1.74176079373482,1.59469209602396,1.49896417992055,1.79895731371792,1.46113945734733,1.69220825517827,1.97456290020874,1.54976986271609,1.72861600307916,1.53482818429415,1.68048505711307,1.94279397415824,1.62365774856987,1.77554412649752,1.87625974316127
"Germany",1.50402521490669,2.00356141898131,1.56502689810556,1.31462453976085,1.82194431562726,1.74520836787784,2.03538797213016,1.6707465088904,1.52206558333439,1.86412791643788,1.35328841329988,1.27108575717234,1.58311926818328,1.73584561296136,1.85941410095438,1.77946544686859,2.04965804625972,1.67187322083856,1.59558047671026,1.4731366827508,1.76153572881641,1.45472465147447,1.77232859665586,2.04824489887785,1.52105161824908,1.72489246501498,1.4277261915221,1.58263152671573,1.94639357619313,1.56794286911994,1.7099536026196,1.80938125849799
"Ghana",0.814373637110329,1.11676290338183,0.942375338909865,0.762907140238814,1.01609524708237,1.11608806771046,1.17471468474974,0.956843107738704,0.872515678811915,1.08920734498451,0.808393347377721,0.953730401956188,0.962851585468135,1.00882077385033,1.25837435425669,1.02951494256799,1.07766202900529,1.02026432409501,0.802352907070941,0.987498159776888,1.04020153577921,0.851461008919018,1.06237730816428,1.15715874484074,0.876349067528662,0.991482649677946,0.871230351687021,0.963515700050186,1.11241551863062,0.786117765146947,1.0249002190062,1.00729132628302
